Item;Cups;Descripción ;Mebresias ;Particular
110;2421022;Membrana biologica ;790000;1027000
111;2434003;Alargamiento coronal sin osteotomia cada diente;184548;239912
112;2434004;Alargamiento coronal con osteotomia cada diente;298116;387551
113;247100101;Placa protectora acetato;106470;138411
114;247100111;Placa para niños con 1 tornillo superior o inferior ;590000;767000
115;24710012;Placa para niños con 2 tornillo superior o inferior ;690000;897000
116;247100131;Placa para niños con 3 tornillo superior o inferior ;790000;1027000
117;247100141;Placa bi-maxilar para niños con 1 tornillo;890000;1157000
118;247100151;Retenedor de arco continuo superior o inferior ;255528;332186
119;247100161;Retenedor de acetato sup  o inf (Obsequio ortodoncia );106470;138411
120;24710017;Retenedor fijo cada punto;80000;104000
121;247100171;Barra transpalatina con boton;343070;445991
122;24710019;Reparacion brakets arco recto;14900;19370
123;24710020;Reparacion brakets mbt;29900;38870
124;24710021;Reparacion brakets estetico ;91000;118300
125;24710022;Reparacion braket autoligado metalico;104000;135200
126;247100231;Reparacion braket autoligado ceramico;117000;152100
127;24710024;Retiro de ortondoncia (solicitado por paciente );185258;240835
128;24710025;Desprogramador anterior ;269724;350641
129;24710026;Placa de magnamara;890000;1157000
130;2471003;Boton de nance con rejilla ;454272;590554
131;2471004;Rejilla palatina o lingual ;323869;421030
132;2471005;Hyrax;890000;1157000
133;2471006;Mantenedor de espacio;377000;490100
134;2471007;Re-educadores linguales o espolones linguales;60000;78000
135;247102701;Colocacion de ortodoncia arco recto c/u 2;200000;260000
136;247102702;Colocacion de ortodoncia mbt c/u 2;280000;364000
137;247102703;Colocacion de ortodoncia estetico c/u 2;300000;390000
138;247102704;Colocacion de ortodoncia autoligado metalico couta inicial;1700000;2210000
139;247102705;Colocacion de ortodoncia autoligado ceramico couta inicial;2200000;2860000
140;247102706;Ortodoncia invisible (alineadores ) 1 mes ;3500000;4550000
141;247102707;Ortodoncia invisible (alineadores) 3 mes;2175000;2827500
142;247102708;Ortodoncia invisible (alineadores) 6 mes;2175000;2827500
143;247170;Boton de nance ;343070;445991
144;2473001;Placa neuromiorelajante activada - incluye 3 controles;638820;830456
145;2473002;Placa neuromiorelajante conflort plus activada ;1200000;1560000
146;2473003;Control de placa neuromiorelajante;90000;117000
147;2473004;Tallado selectivo;390000;507000
148;2488001;Mascara facial;768950;999635
149;2500021;Biopsia de lengua abierta o incisional con estudio de coloracion;780780;1015014
150;89010101;Cotizacion inicial;0;0
151;8902031;Certificado odontologia general ;42588;55364
152;8902032;Certificado odontologia especializada;180000;234000
153;890204;Consulta especializada;0;180000
154;8903031;Consulta general;0;80000
155;8931061;Control de ortodoncia sin plan ;99900;129870
156;9902120;Fisioterapia oral por sesiones ;93600;121680
157;99730200;Detartaje supragingival x cuadrante;99372;129184
158;997501;Profilaxis dental (obsequio menbresia);0;0
159;99750101;Profilaxis preprotesica;120000;156000
160;89310611;Control de ortodoncia fija- arco recto 24 coutas;96300;125190
161;8931062;Control de ortodoncia fija mbt 20 coutas;119900;155870
162;8931063;Control de ortodoncia fija estetico 20 coutas;128300;166790
163;8931064;Control de ortodoncia fija autoligado metalico 15 coutas;251400;326820
164;89310641;Control de ortodoncia fija autoligado ceramico 15 coutas ;279000;362700
165;973400;Extraccion de aparatologia ortodontica fija sod ;180000;234000
166;893106;Control de ortodoncia fija removible o tratamiento ortopedico funcional y mecanico ;83000;107900
167;870002;Perfilograma con cefalometria;149000;193700
168;870003;Perfilograma ;110000;143000
